,Review,Predicted Sentiment,Positive %,Neutral %,Negative %
0,far easiest way measure right amount love different flavors available...,Negative,6.9%,43.1%,50.1%
1,dont buy amazon warehouse like didtotal waste money dry hunks blandness wouldnt ...,Neutral,22.6%,43.2%,34.2%
2,best cooking chocolate able find us thus far well refined strong bodacious real ...,Negative,29.8%,28.2%,42.0%
3,things low cal oreos minus creme minus cookie title oreo basically total misnome...,Positive,62.7%,13.6%,23.8%
4,really impressed tanka buffalo sticks great flavor without spicy great post work...,Positive,59.7%,9.0%,31.3%
5,great assortment give gift office variety bigelow flavors including classics lik...,Positive,59.1%,1.2%,39.7%
6,coffee snob various types coffees certainly know something tastes like burnt cra...,Positive,58.2%,21.0%,20.7%
7,omg vet keeping vets office doesnt keep seen sell found mentioned giving cat pil...,Neutral,11.4%,74.5%,14.1%
8,disagree another reviewer find pb gritty always natural pb without added sugar a...,Positive,54.8%,40.4%,4.8%
9,pretty good generally steer clear oatmeal nuts cookies give good old chocolate c...,Neutral,8.1%,69.4%,22.5%
10,tiki cat far cats favorite food absolutely love especially love salmon tuna flav...,Positive,55.0%,14.4%,30.6%
11,get amazon subscribe save program excellent natural snack son loves amazons subs...,Positive,61.2%,27.6%,11.3%
12,mini mission tell people horrid newmans con queso tastes threw dont buy im sure ...,Neutral,28.0%,38.9%,33.1%
13,cannot find french vanilla jello instant pudding grocery found online good price...,Neutral,15.3%,52.5%,32.1%
14,really dont complaints besides flaky earths best like consistency eb better chea...,Negative,15.3%,12.2%,72.5%
15,six month old baby loves earths best nd sweet potato chicken dinner favorite see...,Positive,52.0%,3.9%,44.1%
16,coffee bold none bitterness usually found bold coffees also scored exeptional si...,Positive,50.9%,20.2%,28.9%
17,versatile product ive ever used eat mix vegetables meat herbs andor put soups sa...,Positive,74.1%,15.6%,10.2%
18,eat cold soaked vanilla soy milk mins milk gives enough sweetness extremely heal...,Negative,36.3%,8.2%,55.5%
19,im sure good really need little something sweet fine honey flavor seems authenti...,Neutral,33.9%,48.6%,17.6%
20,another great nutritious breakfast cereal product natures path love variety brea...,Positive,48.4%,11.4%,40.2%
21,might like okay might good around certain reasons like sorry excited trying prod...,Positive,43.5%,22.7%,33.8%
22,love new keurig coffee maker especially like kcups discounted prices...,Positive,57.1%,32.7%,10.2%
23,bought twice already delicious need hide husband finds bags gone time pistachios...,Negative,34.1%,24.9%,41.0%
24,feel love da vinci sugar free vanilla syrup splenda would highly recommend anyon...,Negative,26.1%,11.0%,62.9%
25,chihuahua picky dog food doesnt like like week get bored itbr br second bag stuf...,Neutral,28.1%,67.7%,4.2%
26,excellent coffee full flavor overpowering keurig kcup system great single cup us...,Neutral,39.9%,49.4%,10.6%
27,love item found cheaper vitacostcom dog kinds health issues switched halo hs ski...,Negative,17.9%,40.5%,41.6%
28,best margarita mix ever delicious stores compactly freezer unlike buckets take m...,Negative,26.0%,14.2%,59.8%
29,like coffee mild range fits bill drinking nothing green mountain breakfast blend...,Positive,66.0%,2.2%,31.8%
30,product tasted good great alternative salted version happy find online since ava...,Neutral,11.1%,58.5%,30.5%
31,whole idea spongebob ginger bread pineapple really great sticker says use jn dat...,Neutral,31.7%,61.8%,6.6%
32,coffee bold ordered one comment stated fact still drink gone milder breakfast bl...,Neutral,30.5%,56.0%,13.6%
33,really good chai tea lattes used buy local cafe make mix water milk comes best s...,Positive,42.1%,26.7%,31.2%
34,ah yes chicken biskitbr br thats right folks chicken biskit need even say morebr...,Negative,12.7%,8.6%,78.7%
35,great soup mix didnt find salty actually add seasoning stir frozen veggies spina...,Neutral,16.0%,57.2%,26.8%
36,bought days ago local vendor paid glad know save herebr boxers one months years ...,Neutral,3.8%,58.4%,37.7%
37,equal exchange coffee dark light roast bought directly fromt local farmer busine...,Negative,12.6%,5.4%,82.0%
38,curry good much better curry find super markets pricebr also good experience qui...,Positive,58.8%,1.2%,39.9%
39,popchips chip century love original best wish would make sodium free though...,Negative,9.9%,20.9%,69.2%
40,mo old son great eater one day decided nothing tasted good anymore long days beg...,Neutral,1.1%,54.9%,44.0%
41,principle juice box imagine children gonna want theseno straw spout quite conduc...,Positive,77.8%,5.7%,16.5%
42,three big dogs spoiled rotten keeps busy get hour time plus fill bone back pb fr...,Positive,55.0%,11.9%,33.1%
43,fabulous cookie perfect size love packaging stale cookies senior size enough cup...,Neutral,40.3%,48.3%,11.4%
44,hot tea drinker grown south big iced tea like iced tea little flavor know mint c...,Neutral,19.8%,79.7%,0.4%
45,someone left snide comment first review packaging reviews inappropriate product ...,Negative,31.8%,33.1%,35.1%
46,great times day munch kind bar day snack dinner dessert bars fulfilling hitting ...,Neutral,7.2%,74.7%,18.1%
47,tasty indeed flavors taste natural fresh better expected texture good young son ...,Neutral,7.9%,88.1%,4.0%
48,using product every day along cod liver oil months dry damaged skin sun healed m...,Negative,22.8%,7.2%,70.0%
49,month twins love convenient usually pretty neatbr br called company upc matched ...,Neutral,13.6%,64.2%,22.3%
50,said earths best contains less sugar brand course organic great choice baby wife...,Positive,39.6%,21.7%,38.8%
51,normally like salty foods curry way salty need tone salt somebr br also make sau...,Positive,39.7%,23.7%,36.6%
52,mom always buys pack pack better deal thanks amazon...,Neutral,0.6%,65.3%,34.0%
53,year old toy fox terrier missing teeth also sensitive stomach wrong food make vo...,Negative,29.3%,18.8%,51.9%
54,used pasta sauce pretty good would buy regularly bit pricey made quick easy birt...,Negative,0.0%,31.4%,68.6%
55,carb watcher even though lot fiber find couple satisfying salad quick snacklike ...,Positive,37.1%,36.3%,26.6%
56,ordered discount via amazon automatic purchase option still works per packet mak...,Negative,5.2%,29.0%,65.8%
57,bars blew away chocolate flavor husband liked tried one reminds cocoa pebbles ba...,Positive,66.5%,3.1%,30.4%
58,saves us lot money getting refill packs buying local store go lot coffee kind bo...,Negative,12.3%,8.3%,79.5%
59,tasty tea blend flavors combine nicely black actually nice complement strong mat...,Neutral,5.8%,62.3%,31.9%
60,celestial seasonings besta plump bag fresh tasty peppermint leaf brews clean del...,Neutral,32.3%,46.5%,21.2%
61,chips quite tasty price right packaged well would buy...,Neutral,17.5%,43.1%,39.4%
62,product description accurateyou eat cornbread dessert like sweet yet sweet made ...,Neutral,4.3%,75.5%,20.2%
63,tofu burger yummy tasting way add something extra tofu adds flavor texture tofu ...,Neutral,26.1%,61.7%,12.2%
64,tastes like jar chemical processed gunk please eat convince try fitness junkie e...,Negative,0.3%,23.7%,76.0%
65,rajma past would stay away one appears pasty greasy taste horrendous almost pung...,Negative,30.1%,22.9%,47.0%
66,mustard powder use make familys mustard brand mustard...,Negative,37.8%,7.6%,54.5%
67,recently adopted two week old kittens foster mother feeding wellness canned kitt...,Positive,39.0%,23.7%,37.3%
68,cant believe healthy yummy love ordering near future...,Negative,28.2%,31.2%,40.7%
69,cat picky eater refuses eat patestyle canned food leave us many options weruva t...,Neutral,5.3%,87.7%,7.0%
70,longest time ive looking something compares illy espresso medium roast lower pri...,Positive,53.0%,42.7%,4.3%
71,great flour making lowcarb pie crust tastes great make lemon cream cheese pie al...,Positive,47.3%,34.5%,18.2%
72,delicious tastes bit like steak sauce low carber godsend love walden farms help ...,Positive,41.7%,32.7%,25.7%
