,Review,Predicted Sentiment,Positive %,Neutral %,Negative %
0,collection flavored coffees excellent variety flavors everything ordinary hazeln...,Negative,34.9%,27.0%,38.1%
1,looking quick cook sticky toffee pudding caught eye thing resembles sticky toffe...,Neutral,33.9%,64.0%,2.1%
2,pleasantly surprised good vegan use many times place ground meat picks flavor pl...,Neutral,12.8%,51.7%,35.5%
3,used black pink fondarific make monster high skullette bats also used cover coff...,Neutral,21.7%,71.3%,6.9%
4,loved jam called extra request helpful definitely order company recommend friend...,Positive,65.3%,34.2%,0.5%
5,one cat sensitive stomach hairball problems ive tried quite treats one give dont...,Positive,40.8%,32.6%,26.6%
6,tastebuds stuff liquid gold ill never buy log cabin mrs butterworths corn syrup ...,Neutral,18.9%,62.5%,18.6%
7,great taste large size zip lock feature excellent sturdy packaging would buy...,Neutral,41.4%,46.6%,12.0%
8,good deal best peasi recommend thes anyone loves wasabi peasservice great shippi...,Negative,40.9%,8.6%,50.4%
9,short story friend ordered food top breed breeder insisted kittens diet change d...,Neutral,10.8%,54.2%,35.0%
10,really good coffee vacation needed coffee local publix store dont live happened ...,Neutral,12.7%,44.1%,43.1%
11,friend introduced wheat thins chipotle pepper stix first encounter made promise ...,Positive,67.2%,12.9%,19.9%
12,cat crazy snapper shrimp varieties loves yellow fin tuna think helps company doe...,Positive,59.3%,16.6%,24.1%
13,italy came us couple weeks ago stay year really sorry say taste american coffee ...,Negative,34.8%,30.3%,34.9%
14,buying scented bags past several months longer unscented bags unscented bags use...,Positive,71.4%,23.2%,5.4%
15,price right coffee bad tasting great either smell really aroma open package turn...,Neutral,2.6%,54.1%,43.3%
16,ghirardelli makes best brownie mix everbr real chocolate taste richness like mad...,Positive,83.5%,11.2%,5.3%
17,good tasting cookies enjoy chocolate nice gooey chocolate center also nice textu...,Positive,47.8%,10.0%,42.2%
18,good size good taste fresh great present arrived time fresh sealed packet ice pa...,Negative,21.3%,10.1%,68.5%
19,think salt merely salt listen salt gives flavor food youbr would never imagined ...,Neutral,1.0%,67.0%,32.0%
20,dark chocolate favorite chocolate bars disappoint read description expect notes ...,Negative,0.3%,37.1%,62.6%
21,product ethnic hair nowhere label even description amazon site state offered try...,Positive,55.0%,23.6%,21.4%
